||~ Field ||~ DisplayName ||~ Description ||~ Enum ||~
|| iconId || Icon ID || Icon ID (When -1, no icon is required) || - ||
|| conditionHp || Trigger condition: Remaining HP ratio [%] || Set what percentage of maxHP the remaining HP will be activated || - ||
|| effectEndurance || Effect duration time [s] || Change duration / -1 for permanent / 0 for one moment only || - ||
|| motionInterval || Activation interval [s] || Set how many seconds it occurs || - ||
|| maxHpRate || Maximum HP magnification [%] || Correct the maximum HP || - ||
|| maxMpRate || Maximum MP magnification [%] || Correct the maximum MP || - ||
|| maxStaminaRate || Maximum stamina magnification [%] || Correct the maximum SP || - ||
|| slashDamageCutRate || Defender: Slash damage multiplier || Slash damage ratio: Correct the calculated damage by XX times. 1 is normal. || - ||
|| blowDamageCutRate || Defender: Batter damage multiplier || Batter damage ratio: The calculated damage is corrected by XX times. 1 is normal. || - ||
|| thrustDamageCutRate || Defender: Puncture damage multiplier || Puncture damage ratio: Correct the calculated damage by XX times. 1 is normal. || - ||
|| neutralDamageCutRate || Defender: Non-attribute damage multiplier || Non-attribute damage ratio: Correct the calculated damage by XX times. 1 is normal. || - ||
|| magicDamageCutRate || Defender: Magic damage multiplier || Magic damage multiplier: The calculated damage is corrected by XX times. 1 is normal. || - ||
|| fireDamageCutRate || Defender: Fire damage multiplier || Flame damage ratio: Correct the calculated damage by XX times. 1 is normal. || - ||
|| thunderDamageCutRate || Defender: Electric shock damage multiplier || Electric shock damage ratio: Correct the calculated damage by XX times. 1 is normal. || - ||
|| physicsAttackRate || Attacker: Physical damage multiplier || Physical damage ratio: Correct the calculated damage by XX times. 1 is normal. || - ||
|| magicAttackRate || Attacker: Magic damage multiplier || Magic damage multiplier: The calculated damage is corrected by XX times. 1 is normal. || - ||
|| fireAttackRate || Attacker: Fire damage multiplier || Flame damage ratio: Correct the calculated damage by XX times. 1 is normal. || - ||
|| thunderAttackRate || Attack side: Electric shock damage ratio || Electric shock damage ratio: Correct the calculated damage by XX times. 1 is normal. || - ||
|| physicsAttackPowerRate || Physical attack power multiplier || Multiply the physical attack power by the set value || - ||
|| magicAttackPowerRate || Magic attack power multiplier || Multiply the magic attack power by the set value || - ||
|| fireAttackPowerRate || Fire attack power multiplier || Multiply the fire attack power by the set value || - ||
|| thunderAttackPowerRate || Electric shock attack power multiplier || Multiply the electric shock attack power by the set value || - ||
|| physicsAttackPower || Physical attack power [point] || Add or subtract the value set for physical attack power || - ||
|| magicAttackPower || Magic attack power [point] || Add or subtract the value set for the magic attack power || - ||
|| fireAttackPower || Fire attack power [point] || Add or subtract the value set for the flame attack power || - ||
|| thunderAttackPower || Electric shock attack power [point] || Add or subtract the value set for the electric shock attack power || - ||
|| physicsDiffenceRate || Physical defense power multiplier || Multiply the set value for physical defense || - ||
|| magicDiffenceRate || Magic defense multiplier || Multiply the value set for magic defense || - ||
|| fireDiffenceRate || Fire defense multiplier || Multiply the fire defense by the set value || - ||
|| thunderDiffenceRate || Electric shock defense power multiplier || Multiply the value set for the electric shock defense || - ||
|| physicsDiffence || Physical defense [point] || Add or subtract the value set for physical defense || - ||
|| magicDiffence || Magic defense [point] || Add or subtract the value set for magic defense || - ||
|| fireDiffence || Fire defense [point] || Add or subtract the value set for the fire defense || - ||
|| thunderDiffence || Electric shock defense [point] || Add or subtract the value set for the electric shock defense || - ||
|| NoGuardDamageRate || Gap damage ratio || Replace the damage ratio at the time of the gap with the set value (set on the damage side) || - ||
|| vitalSpotChangeRate || Sweet spot magnification || Replaces the damage calculation of the sweet spot with the specified value (key point damage correction) -Invalid at 1.0 || - ||
|| normalSpotChangeRate || Normal hit magnification || Replaces normal hit damage calculation with the specified number -Invalid at 1.0 || - ||
|| lookAtTargetPosOffset || LookAt Position Offset [m] || Offset the target position when the enemy looks at. Set to crouch or mount on the side to be seen || - ||
|| behaviorId || Action ID designation frame || Specified -1 when dealing damage using action ID from special effects || - ||
|| changeHpRate || HP damage amount [%] || Set what percentage of the maximum HP to subtract (or add) with one activation || - ||
|| changeHpPoint || HP damage [point] || Set how many points to subtract (or add) with one activation || - ||
|| changeMpRate || MP damage amount [%] || Set what percentage of the maximum MP to subtract (or add) with one activation || - ||
|| changeMpPoint || MP damage [point] || Set how many points to subtract (or add) with one activation || - ||
|| mpRecoverChangeSpeed || MP recovery speed change [point] || Change the recovery speed. Add or subtract to the standard recovery speed and initial recovery speed of the recovery formula. || - ||
|| changeStaminaRate || Stamina damage amount [%] || Set what percentage of the maximum stamina to subtract (or add) with one activation || - ||
|| changeStaminaPoint || Stamina damage [point] || Set how many points to subtract (or add) with one activation || - ||
|| staminaRecoverChangeSpeed || Stamina recovery speed change [point] || Change the recovery speed. Add or subtract to the standard recovery speed and initial recovery speed of the recovery formula. || - ||
|| magicEffectTimeChange || Magic effect time change || Add / subtract the time set for the effect duration only for magic that has the effect duration set to 0.1 seconds or more. || - ||
|| insideDurability || Durability change: Internal wear [point] || Add or subtract the numerical value to the internal wear degree || - ||
|| maxDurability || Durability change: Maximum wear change [point] || Add the set value to the maximum value of the internal wear degree of durability. || - ||
|| staminaAttackRate || Stamina attack power multiplier || Multiply the stamina attack power by a factor (1.0 1 times 0.5 half) || - ||
|| poizonAttackPower || Poison resistance attack power [point] || A value to be added to the target's [poison resistance value] when it hits || - ||
|| diseaseAttackPower || Epidemic resistance attack power [point] || Numerical value to be added to the target [Plague resistance value] when hit || - ||
|| bloodAttackPower || Bleeding resistance attack power [point] || A value to be added to the target's [bleeding resistance value] when it hits || - ||
|| curseAttackPower || Curse resistance attack power [point] || A number to be added to the target [curse resistance value] when hit || - ||
|| fallDamageRate || Fall damage ratio || Multiply the damage calculation when falling || - ||
|| soulRate || Get Soul Magnification || The amount of soul acquired when defeating an enemy is added by the specified multiple. || - ||
|| equipWeightChangeRate || Equipment weight change rate || Multiply the maximum equipment weight by the set magnification || - ||
|| allItemWeightChangeRate || Possession weight change rate || Multiply the maximum weight you have by the set magnification || - ||
|| soul || Soul addition || Add the set value to the possessed soul || - ||
|| animIdOffset || Anime ID offset (invalid-1) || Anime ID offset (invalid-1) || - ||
|| haveSoulRate || Possession soul rate || For enemy lap effect. It is applied when the soul goes out from the set character. || - ||
|| targetPriority || Target priority addition || During multiplayer, the enemy will give priority to being targeted as a target. Addition of priority. 0 is the default. It will be often targeted with a positive value. Minus is up to -1. || - ||
|| sightSearchEnemyRate || Those who can see: Visual magnification || Correct the ease of finding by a magnification || - ||
|| hearingSearchEnemyRate || Who can hear: AI sound radius magnification || Correct the loudness of the AI sound emitted by the magnification || - ||
