||~ Field ||~ DisplayName ||~ Description ||~ Enum ||~
|| midstSfxId || In effect SfxID || In effect SfxID (-1: invalid) || - ||
|| midstSeId || In effect SeID || In effect SeID (-1: invalid) || - ||
|| initSfxId || SfxID at the time of activation || SfxID at activation (-1: invalid) || - ||
|| initSeId || SeID at the time of activation || When activated SeID (-1: invalid) || - ||
|| finishSfxId || SfxID at the time of release || SfxID at the time of cancellation (-1: invalid) || - ||
|| finishSeId || SeID at the time of release || SeID at the time of release (-1: invalid) || - ||
|| camouflageBeginDist || Hidden start distance [m] || It is the camouflage start distance || - ||
|| camouflageEndDist || Hidden end distance [m] || It is the camouflage end distance || - ||
|| transformProtectorId || Makeover Armor ID || Makeover Armor ID (-1: None) || - ||
|| midstDmyId || Damipoli ID in effect || In effect Damipoli ID (-1: Root) || - ||
|| initDmyId || Damipoli ID at the time of activation || Damipoli ID at the time of activation (-1: root) || - ||
|| finishDmyId || Damipoli ID at the time of cancellation || Damipoli ID at the time of cancellation (-1: root) || - ||
|| effectType || Effect type || Effect type || SP_EFFECT_VFX_EFFECT_TYPE ||
|| soulParamIdForWepEnchant || Soul Param ID for Weapon Enchantment || Soul Param ID for Weapon Enchantment (-1: None). Change the applied Phantom Param. || SP_EFFECT_VFX_SOUL_PARAM_TYPE ||
|| playCategory || VFX playback category || Controls effect playback due to duplicate effects || SP_EFFECT_VFX_PLAYCATEGORY ||
|| playPriority || In-category priority || Set the playback priority when the categories match (lower one has priority) || - ||
|| existEffectForLarge || Is there a large effect? || Is there a large effect? || SP_EFFECT_BOOL ||
|| existEffectForSoul || Is there an effect for the soul body? || Is there an effect for the soul body? || SP_EFFECT_BOOL ||
|| effectInvisibleAtCamouflage || Whether to hide the effect when hiding || Whether to hide the effect when hiding || SP_EFFECT_BOOL ||
|| useCamouflage || Do you hide || Do you hide || SP_EFFECT_BOOL ||
|| invisibleAtFriendCamouflage || Is it hidden even by allies when hiding? || Is it hidden even by allies when hiding? || SP_EFFECT_BOOL ||
|| isHideFootEffect_forCamouflage || Do you want to turn off the foot effect when hiding? || Do you want to turn off the foot effect when hiding? || SP_EFFECT_BOOL ||
|| halfCamouflage || Only translucent appearance || Only translucent appearance || SP_EFFECT_BOOL ||
|| isFullBodyTransformProtectorId || Is the transformation armor ID for the whole body? || Is the transformation armor ID for the whole body? || SP_EFFECT_BOOL ||
|| isInvisibleWeapon || Invisible Weapon for Weapon Enchantment? || Invisible Weapon for Weapon Enchantment (0: Weapon Show, 1: Weapon Hide) || SP_EFFECT_BOOL ||
|| isSilence || Is it silence? || Is it silence? (0: No, 1: Yes) || SP_EFFECT_BOOL ||
|| isMidstFullbody || Whole body (in effect) || Do you use whole body Damipoli for equipping SFX during effect? Play SFX from torso: 190, head: 191, hands: 192, legs: 193 at 1 || SP_EFFECT_BOOL ||
|| isInitFullbody || Whole body (at the time of activation) || Do you use the whole body Damipoli for equipping SFX during activation? Play SFX from torso: 190, head: 191, hands: 192, legs: 193 at 1 || SP_EFFECT_BOOL ||
|| isFinishFullbody || Whole body (at the time of release) || Do you use the whole body Damipoli for equipping SFX at the time of release? Play SFX from torso: 190, head: 191, hands: 192, legs: 193 at 1 || SP_EFFECT_BOOL ||
|| isVisibleDeadChr || Do you want to display even when the body is dead? || If ○, VFX will be displayed even when the corpse is dead. || SP_EFFECT_BOOL ||
|| isUseOffsetEnchantSfxSize || Enchantment SFX size offset adaptation? || Whether to offset the SfxId according to the "enchantment Sfx size" of the weapon para || SP_EFFECT_BOOL ||
|| pad_1 || Padding || Padding || - ||
|| decalId1 || Decal ID1 || Decal ID 1 (-1: invalid) || - ||
|| decalId2 || Decal ID2 || Decal ID 2 (-1: invalid) || - ||
|| footEffectPriority || Foot effect priority || Foot effect offset priority (lower is higher) || - ||
|| footEffectOffset || Foot effect offset || Amount offset to foot effect ID when this special effect is applied || - ||
|| traceSfxIdOffsetType || Sword flash SFX ID offset type || The offset value applied to the sword flash SFX ID. Used for enchantment and sword trajectory effects || SP_EFFECT_VFX_SOUL_PARAM_TYPE ||
