||~ Field ||~ DisplayName ||~ Description ||~ Enum ||~
|| disableParam_NT || Do you remove it from the NT version output? || Parameters marked with ○ are excluded in the NT version package. || BOOL_CIRCLECROSS_TYPE ||
|| disableParamReserve1 || Reserve for package output 1 || Reserve for package output 1 || - ||
|| disableParamReserve2 || Reserve for package output 2 || Reserve for package output 2 || - ||
|| msgId || PC Gender is Male: Message ID || PC Gender is Male: Specify Message-> Menu || - ||
|| voiceId || PC Gender is Male: Voice ID || PC Gender is Male: Specify Voice-> Sound || - ||
|| spEffectId0 || Special effect ID0 || Specify special effects-> Character || - ||
|| motionId0 || Motion ID 0 || Specify motion-> Character || - ||
|| spEffectId1 || Special effect ID1 || Specify special effects-> Character || - ||
|| motionId1 || Motion ID 1 || Specify motion-> Character || - ||
|| returnPos || Return position || Relative position of returning conversation-> Conversation || - ||
|| reactionId || Reaction ID || Conversation specification when returning-> Conversation || - ||
|| eventId || Event ID || Event ID-> Event || - ||
|| msgId_female || PC Gender is Female: Message || PC Gender is Female: Specify Message-> Menu || - ||
|| voiceId_female || PC Gender is Female: Voice ID || PC Gender is Female: Specify Voice-> Sound || - ||
|| lipSyncStart || Speaker: Lip-sync start time || Speaker: Lip-sync start time. -1 with no lip-sync || - ||
|| lipSyncTime || Speaker: Lip-sync duration || Speaker: Lip-sync duration. Lip-sync at -1 continues forever || - ||
|| pad2 || Padding ||  || - ||
|| timeout || Voice playback timeout time || Voice playback timeout period. In case of -1, time-out processing is performed in "NPC conversation voice playback timeout time" of "Common_Game system parameter". || - ||
|| talkAnimationId || Speaker: Subtitled play Anime ID || Speaker: Animation ID during conversation || - ||
|| isForceDisp || Whether to forcibly display subtitles || Do you want to force the display of subtitles? Display subtitles even when subtitles are turned off as an option || BOOL_CIRCLECROSS_TYPE ||
|| pad3 || Padding ||  || - ||
|| pad1 || Padding || Padding || - ||
