//Format[hex]:Index(size) = Name 
004(4) = soloPlayDeath_ToFadeOutTime
008(4) = partyGhostDeath_ToFadeOutTime
00C(4) = playerMaxHpLimit
010(4) = playerMaxMpLimit
014(4) = playerMaxSpLimit
018(4) = actionPanelChangeThreshold_Vel
01C(4) = actionPanelChangeThreshold_PassTime
020(4) = kgIconVspace
024(4) = worldMapCursorSelectRadius
028(4) = reserved8
02C(4) = decalPosOffsetX
030(4) = decalPosOffsetY
034(4) = targetStateSearchDurationTime
038(4) = targetStateBattleDurationTime
03C(4) = worldMapCursorSpeed
040(4) = worldMapCursorFirstDistance
044(4) = worldMapCursorFirstDelay
048(4) = worldMapCursorWaitTime
04C(4) = worldMapCursorSnapRadius
050(4) = worldMapCursorSnapTime
054(4) = itemGetLogAliveTime
058(4) = playerMaxSaLimit
05C(4) = worldMap_IsChangeableLayerEventFlagId
060(4) = worldMap_TravelMargin
064(4) = systemAnnounceScrollBufferTime
068(4) = systemAnnounceScrollSpeed
06C(4) = systemAnnounceNoScrollWaitTime
06D(1) = systemAnnounceScrollCount
070(3) = reserved17
074(4) = compassMemoDispDistance
078(4) = compassBonfireDispDistance
07C(4) = markerGoalThreshold
080(4) = svSliderStep
084(4) = preOpeningMovie_WaitSec
088(4) = kgIconScale
08C(4) = kgIconScale_forTable
090(4) = kgIconVspace_forTable
094(4) = kgIconScale_forConfig
098(4) = kgIconVspace_forConfig
09C(4) = worldMap_SearchRadius
0A0(4) = tutorialDisplayTime
0A4(4) = compassFriendHostInnerDistance
0A8(4) = compassEnemyHostInnerDistance
0AC(4) = compassFriendGuestInnerDistance
0B0(4) = cutsceneKeyGuideAliveTime
0B4(4) = autoHideHpThresholdRatio
0B8(4) = autoHideHpThresholdValue
0BC(4) = autoHideMpThresholdRatio
0C0(4) = autoHideMpThresholdValue
0C4(4) = autoHideSpThresholdRatio
0C8(4) = autoHideSpThresholdValue
0CC(4) = worldMapZoomAnimationTime
0D0(4) = worldMapIconScaleMin
0D4(4) = worldMap_TravelMargin_Point
0D6(2) = enemyTagSafeLeft
0D8(2) = enemyTagSafeRight
0DA(2) = enemyTagSafeTop
0DC(2) = enemyTagSafeBottom
0E0(4) = pcHorseHpRecoverDispThreshold
100(32) = reserved33
