//Format[hex]:Index(size) = Name 
004(4) = playerFootEffect_bySFX
008(4) = snipeModeDrawAlpha_FadeTime
00C(4) = toughnessRecoverCorrection
00D(1) = baseMagicSlotSize
00E(1) = baseAccSlotNum
010(2) = reserved02
014(4) = animeID_DropItemPick
018(4) = resistRecoverPoint_Sleep_Player
01C(4) = flareOverrideHomingAngle
020(4) = flareOverrideHomingStopRange
024(4) = animeID_SleepCollectorItemPick
028(4) = unlockEventFlagBaseId_forWepAttr
02C(4) = systemEnchant_BigRune
030(4) = lowStatus_AtkPowDown
034(4) = lowStatus_ConsumeStaminaRate
036(2) = lowStatus_AtkGuardBreak
038(2) = guardStatusCorrect_MaxStatusVal
03A(2) = unlockEventFlagStepNum_forWepAttr
03C(2) = retributionMagic_damageCountNum
03E(2) = retributionMagic_damageCountRemainTime
040(2) = retributionMagic_burstDmypolyId
044(4) = retributionMagic_burstMagicParamId
048(4) = chrAimCam_rideOffsetHeight
04C(4) = reserved23
050(4) = arrowCaseWepBindDmypolyId
054(4) = boltPouchWepBindDmypolyId
058(4) = estusFlaskAllocateRate
05A(2) = reserved38
05B(1) = kickAcceptanceDeg
05C(1) = npcPlayerAnalogWeightRate_Light
05D(1) = npcPlayerAnalogWeightRate_Normal
05E(1) = npcPlayerAnalogWeightRate_Heavy
05F(1) = npcPlayerAnalogWeightRate_WeightOver
060(1) = npcPlayerAnalogWeightRate_SuperLight
064(4) = reserved45
068(4) = clearCountCorrectBaseSpEffectId
06C(4) = arrowBoltModelIdOffset
06D(1) = arrowBoltRemainingNumModelMaskThreshold1
06E(1) = arrowBoltRemainingNumModelMaskThreshold2
070(2) = reserved27
074(4) = resistRecoverPoint_Poision_Player
078(4) = resistRecoverPoint_Desease_Player
07C(4) = resistRecoverPoint_Blood_Player
080(4) = resistRecoverPoint_Curse_Player
084(4) = resistRecoverPoint_Freeze_Player
088(4) = resistRecoverPoint_Poision_Enemy
08C(4) = resistRecoverPoint_Desease_Enemy
090(4) = resistRecoverPoint_Blood_Enemy
094(4) = resistRecoverPoint_Curse_Enemy
098(4) = resistRecoverPoint_Freeze_Enemy
09C(4) = requestTimeLeftBothHand
0A0(4) = resistRecoverPoint_Madness_Player
0A4(4) = animeID_MaterialItemPick
0A8(4) = hpEstusFlaskAllocateRateForYellowMonk
0AC(4) = hpEstusFlaskAllocateOffsetForYellowMonk
0B0(4) = mpEstusFlaskAllocateRateForYellowMonk
0B4(4) = mpEstusFlaskAllocateOffsetForYellowMonk
0B8(4) = resistRecoverPoint_Sleep_Enemy
0BC(4) = resistRecoverPoint_Madness_Enemy
0C0(4) = resistCurseItemId
0C1(1) = resistCurseItemMaxNum
0C4(3) = reserved_123
0C8(4) = resistCurseItemSpEffectBaseId
0CC(4) = resistCurseItemLotParamId_map
100(52) = reserved41
