//Format[hex]:Index(size) = Name : BitSize
001(1) = slot0 : 1
001(1) = slot1 : 2
001(1) = slot2 : 3
001(1) = slot3 : 4
001(1) = slot4 : 5
001(1) = slot5 : 6
001(1) = slot6 : 7
001(1) = slot7 : 8
002(1) = slot8 : 1
002(1) = slot9 : 2
002(1) = slot10 : 3
002(1) = slot11 : 4
002(1) = slot12 : 5
002(1) = slot13 : 6
002(1) = slot14 : 7
002(1) = slot15 : 8
003(1) = slot16 : 1
003(1) = slot17 : 2
003(1) = slot18 : 3
003(1) = slot19 : 4
003(1) = slot20 : 5
003(1) = slot21 : 6
003(1) = slot22 : 7
003(1) = slot23 : 8
004(1) = slot24 : 1
004(1) = slot25 : 2
004(1) = slot26 : 3
004(1) = slot27 : 4
004(1) = slot28 : 5
004(1) = slot29 : 6
004(1) = slot30 : 7
004(1) = slot31 : 8
005(1) = slot32 : 1
005(1) = slot33 : 2
005(1) = slot34 : 3
005(1) = slot35 : 4
005(1) = slot36 : 5
005(1) = slot37 : 6
005(1) = slot38 : 7
005(1) = slot39 : 8
006(1) = slot40 : 1
006(1) = slot41 : 2
006(1) = slot42 : 3
006(1) = slot43 : 4
006(1) = slot44 : 5
006(1) = slot45 : 6
006(1) = slot46 : 7
006(1) = slot47 : 8
007(1) = slot48 : 1
007(1) = slot49 : 2
007(1) = slot50 : 3
007(1) = slot51 : 4
007(1) = slot52 : 5
007(1) = slot53 : 6
007(1) = slot54 : 7
007(1) = slot55 : 8
008(1) = slot56 : 1
008(1) = slot57 : 2
008(1) = slot58 : 3
008(1) = slot59 : 4
008(1) = slot60 : 5
008(1) = slot61 : 6
008(1) = slot62 : 7
008(1) = slot63 : 8
009(1) = slot64 : 1
009(1) = slot65 : 2
009(1) = slot66 : 3
009(1) = slot67 : 4
009(1) = slot68 : 5
009(1) = slot69 : 6
009(1) = slot70 : 7
009(1) = slot71 : 8
00A(1) = slot72 : 1
00A(1) = slot73 : 2
00A(1) = slot74 : 3
00A(1) = slot75 : 4
00A(1) = slot76 : 5
00A(1) = slot77 : 6
00A(1) = slot78 : 7
00A(1) = slot79 : 8
00B(1) = slot80 : 1
00B(1) = slot81 : 2
00B(1) = slot82 : 3
00B(1) = slot83 : 4
00B(1) = slot84 : 5
00B(1) = slot85 : 6
00B(1) = slot86 : 7
00B(1) = slot87 : 8
00C(1) = slot88 : 1
00C(1) = slot89 : 2
00C(1) = slot90 : 3
00C(1) = slot91 : 4
00C(1) = slot92 : 5
00C(1) = slot93 : 6
00C(1) = slot94 : 7
00C(1) = slot95 : 8
00D(1) = slot96 : 1
00D(1) = slot97 : 2
00D(1) = slot98 : 3
00D(1) = slot99 : 4
00D(1) = pad : 8
